통계표명:,에너지원별 발전량 현황,,,,,,,,
단위:,"GWh, %",,,,,,,,
,,계,원자력,석탄,LNG,신재생,유류,양수,기타
2009,발전량,"433,604","147,771","193,804","65,190","4,604","12,725","2,828","6,683"
,비중,100.0,34.1,44.7,15.0,1.1,2.9,0.7,1.5
2010,발전량,"474,660","148,596","198,287","96,193","8,160","11,711","2,790","8,922"
,비중,100.0,31.3,41.8,20.3,1.7,2.5,0.6,1.9
2011,발전량,"496,893","154,723","199,516","103,499","12,190","10,489","3,233","13,243"
,비중,100.0,31.1,40.2,20.8,2.5,2.1,0.7,2.7
2012,발전량,"509,574","150,327","199,330","113,849","12,587","14,791","3,683","15,007"
,비중,100.0,29.5,39.1,22.3,2.5,2.9,0.7,2.9
2013,발전량,"517,148","138,784","201,119","127,547","14,449","15,061","4,105","16,084"
,비중,100.0,26.8,38.9,24.7,2.8,2.9,0.8,3.1
2014,발전량,"521,971","156,407","203,765","112,015","17,447","7,759","5,068","19,510"
,비중,100.0,30.0,39.0,21.5,3.3,1.5,1.0,3.7
2015,발전량,"528,091","164,762","207,334","100,749","19,464","9,537","3,650","22,595"
,비중,100.0,31.2,39.3,19.1,3.7,1.8,0.7,4.3
2016,발전량,"540,441","161,995","213,803","121,018","25,836","14,001","3,787",-
,비중,100.0,30.0,39.6,22.4,4.8,2.6,0.7,-
2017,발전량,"553,530","148,427","238,799","126,039","30,817","5,263","4,186",-
,비중,100.0,26.8,43.1,22.8,5.6,1.0,0.8,-
2018,발전량,"570,647","133,505","238,967","152,925","35,598","5,740","3,911",0
,비중,100.0,23.4,41.9,26.8,6.2,1.0,0.7,0.0
2019,발전량,"563,040","145,910","227,384","144,355","36,392","3,292","3,458","2,249"
,비중,100.0,25.9,40.4,25.6,6.5,0.6,0.6,0.4
2020,발전량,"552,162","160,184","196,333","145,911","36,527","2,255","3,271","7,681"
,비중,100.0,29.0,35.6,26.4,6.6,0.4,0.6,1.4
2021,발전량,"576,810","158,015","197,966","168,378","43,096","2,355","3,683","3,316"
,비중,100.0,27.4,34.3,29.2,7.5,0.4,0.6,0.6
2022,발전량,"594,400","176,054","193,231","163,575","53,182","1,966","3,715","2,678"
,비중,100.0,29.6,32.5,27.5,8.9,0.3,0.6,0.5
2023,발전량,"588,047","180,494","184,927","157,749","56,562","1,487","3,784","3,044"
,비중,100.0,30.7,31.4,26.8,9.6,0.3,0.6,0.5
출처:,"한국전력공사 월별 전력통계속보, 연도별 한국전력통계",,,,,,,,
주석:,*에너지원별 발전량은 16년도 이후 부터 집계(15년도 이전은 발전원별 발전량),,,,,,,,
